record,movement_type,natal_site,year,colony,dispersal_status,site,disturbance,study_site,area,Date,Time,Month,Week,day,day.s,hour,mark,uid,first_capture_wk,2nd_capture_wk,New_squirrel,mass,mass_div_100,sex,stage,min_age_master,repro,ag_dist,left_hf,mass_lhf,mass_lhf,beh_poop,beh_chat,beh_call,beh_strg,behav_wlk_bag,poop_coll,cort_fecal_ID,dry_mass,conc_pg_ml,conc_ng_g_div50,lnCort,trap_effect
3920,dispersal,moderate disturbance,2018,Crow,before,1,More disturbed,1,B_area_crow,5/22/2018,12:18,MAY,21,142,14.2,12,sailor_moon,R499,1,0,0,905,9.05,M,A,3,2,21.65,36.75,24.6,6.2,1,0,0,0,1,1,140,,23636.00758,472.7201517,6.16,
4104,dispersal,moderate disturbance,2018,Crow,before,1,More disturbed,1,B_area_crow,6/4/2018,11:42,JUN,23,155,15.5,11,sailor_moon,R499,1,0,0,950,9.5,M,A,3,2,33.9,36.55,26,6.5,0,0,0,0,1,1,216,,10454.74077,209.0948155,5.34,
2257,dispersal,moderate disturbance,2016,Crow,before,1,More disturbed,1,cedar_crow,7/13/2016,8:58,JUL,29,195,19.5,8,on-off_button,R542,1,0,1,310,3.1,M,P,0,2,15.13,34.25,9.1,2.3,0,0,0,0,1,1,717,0.101,1206.752263,24.13504525,3.18,
2825,dispersal,moderate disturbance,2017,Crow,before,1,More disturbed,1,log_1_crow,6/1/2017,11:16,JUN,22,152,15.2,11,Bart_logo,R589,1,0,1,110,1.1,F,P,0,3,4.73,26.17,4.2,1.1,0,0,1,0,1,1,172,0.117,787.2822488,15.74564498,2.76,
6778,dispersal,moderate disturbance,2020,Crow,before,1,More disturbed,1,purgatory_crow,7/7/2020,11:33,JUL,28,189,18.9,11,Bart_logo,R589,1,0,0,635,6.35,F,A,3,4,7.18,35.64,17.8,4.5,0,0,1,0,1,1,319,,1690.149864,33.80299728,3.52,
384,dispersal,moderate disturbance,2014,Paradise,post,0,Less disturbed,0,P_paradise,6/11/2014,11:44,JUN,24,162,16.2,11,smiley,R023,1,0,0,900,9,M,A,2,2,25.3,38.2,23.6,5.9,0,0,0,0,1,1,74,0.453,4217,84.34,4.43,
6991,dispersal,moderate disturbance,2020,Paradise,post,0,Less disturbed,0,D_paradise,7/28/2020,12:46,JUL,31,210,21,12,facebook,R1009,1,0,0,385,3.85,F,P,0,3,6.78,34.22,11.3,2.8,0,1,1,0,1,1,433,,855.1797811,17.10359562,2.84,JES added on 5-22-24
7314,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,lower_runway_paradise,6/7/2021,10:52,JUN,23,158,15.8,10,facebook,R1009,1,0,0,325,7.65,F,A,1,4,8.32,34.33,9.5,2.4,0,0,0,0,1,1,152,0.5217,1223.496241,24.46992483,3.2,
7660,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,fortress_paradise,6/28/2021,12:38,JUN,26,179,17.9,12,sand_dollar,R1117,1,0,0,650,6.5,M,A,1,2,23.41,38.26,17,4.2,0,1,1,1,1,1,356,0.6424,829.7603087,16.59520617,2.81,
7909,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,beach_paradise,7/26/2021,12:13,JUL,30,207,20.7,12,sand_dollar,R1117,1,0,0,645,6.45,M,A,1,2,26.92,37.52,17.2,4.3,0,1,1,0,1,1,527,0.7119,754.8551212,15.09710242,2.71,
8233,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,fortress_paradise,6/8/2022,10:22,JUN,23,159,15.9,10,sand_dollar,R1117,1,0,0,890,8.9,M,A,2,2,33.51,38.12,23.3,5.8,0,0,0,0,1,1,175,1.0326,1296,25.92,3.26,
9036,dispersal,moderate disturbance,2023,Paradise,post,0,Less disturbed,0,beach_paradise,6/12/2023,11:52,JUN,24,163,16.3,11,sand_dollar,R1117,1,,,815,8.15,M,A,3,2,25.13,37.52,21.7,5.4,1,1,1,0,0,1,140,0.8479,1728.6,34.572,3.54,
9127,dispersal,moderate disturbance,2023,Paradise,post,0,Less disturbed,0,beach_paradise,6/26/2023,12:57,JUN,26,177,17.7,12,sand_dollar,R1117,1,,,930,9.3,M,A,3,2,30.81,38.68,24,6,1,0,1,0,1,1,206,0.7855,1393.24601,27.8649202,3.33,
9891,dispersal,moderate disturbance,2024,Paradise,post,0,Less disturbed,0,bodega_bay_paradise,7/9/2024,12:01,JUL,28,191,19.1,12,sand_dollar,R1117,1,0,,1025,10.25,M,A,4,,32.7,38.25,26.79738562,2.679738562,,,,,,1,193,1.2518,1936.1,38.722,3.66,
